section,sectionId,label,description,icon,toolId
Arcade,arcade,Dino Run,Infinite runner,PiGameController,dino-run
Arcade,arcade,RPS,Rock Paper Scissors,PiScissors,rps
Arcade,arcade,Snake,"12×12 grid",PiBugDroid,snake
Memory,memory,Memory Match,Find matching pairs,PiGameController,memory-match
Memory,memory,N-Back,Working memory,PiNumberSquareOne,n-back
Memory,memory,PI,Memorization,PiPi,pi
Memory,memory,Quizify,Quiz,PiQuestion,quizify
Memory,memory,Recall,Memorization,PiGameController,recall
Puzzle,puzzle,2048,Merge tiles,PiNumberSquareOne,game2048
Puzzle,puzzle,Lights Out,Toggle all lights off,PiLamp,lights-out
Puzzle,puzzle,Maze,Gen & solve,PiHurricane,maze
Puzzle,puzzle,Sliding Puzzle,Upload & slide tiles,PiSnowflake,sliding-puzzle
Puzzle,puzzle,Towers,Towers of Hanoi,PiBuilding,towers
Trivia,trivia,Pokedex,Pokemon,PiBook,pokedex
Trivia,trivia,Myth Versus Fact,Spot the false claim,PiCheckCircle,myth-versus-fact
Word,word,Palindrome,Palindrome,PiRepeat,palindrome
Word,word,Typoglycemia,Scrambled text,PiShuffle,typoglycemia
