abbreviation,title,classical,speed,chesscom
GM,Grandmaster,2500+,,2900+
IM,International Master,2400+,,2800+
FM,FIDE Master,2300+,,2700+
CM,Candidate Master,2200+,,2600+
WGM,Woman Grandmaster,2300+,,2700+
WIM,Woman International Master,2200+,,2600+
WFM,Woman FIDE Master,2100+,,2500+
WCM,Woman Candidate Master,2000+,,2400+
,Expert,2000 - 2200,,2400 - 2600
,Class A,1800 - 2000,,2200 - 2400
,Class B,1600 - 1800,,2000 - 2200
,Class C,1400 - 1600,,1800 - 2000
,Class D,1200 - 1400,,1600 - 1800
,Class E,1000 - 1200,,1400 - 1600
AGM,Arena Grandmaster,,2000,
AIM,Arena International Master,,1700,
AFM,Arena FIDE Master,,1400,
ACM,Arena Candidate Master,,1100,
