actor_a,actor_b,links
Kevin Bacon,Fergus O'Hare,-1
Kevin Bacon,David Sawer,-1
Kevin Bacon,Danielle Baker-Charles,-1
Kevin Bacon,Nikola Mucha,4.
Kevin Bacon,Barbara Houseman,-1
Kevin Bacon,Kevin Lavelle,-1
Kevin Bacon,Oleg Belyayev,-1
Kevin Bacon,Chantal Massuh,-1
Kevin Bacon,Tenpuku Yan,3.
Kevin Bacon,Wataru Koga,4.
Kevin Bacon,Rafael Oliveira,3.
Kevin Bacon,Jun Takatsuki,4.
Kevin Bacon,Jan Klepárník,-1
Kevin Bacon,Sonny Lanegan,-1
Kevin Bacon,The Soft Machine,-1
Kevin Bacon,Petr Malíček,-1
Kevin Bacon,Daran Johnson,-1
Kevin Bacon,Pierre Dorac,-1
Kevin Bacon,Maxime Calligaro,-1
Kevin Bacon,Barbora Bezáková,-1
Kevin Bacon,Sabina Válová,-1
Kevin Bacon,Veronika Pichlerová,-1
Kevin Bacon,Adéla Zajfartová,-1
Kevin Bacon,Iveta Váltová,-1
Kevin Bacon,Dan Bacaner,3.
Kevin Bacon,Joshua Segal,2.
Kevin Bacon,Diana Danielová,-1
Kevin Bacon,Nina Brackett,-1
Kevin Bacon,Jennifer Buchalla,-1
Kevin Bacon,Josh Segal,2.
Kevin Bacon,Melanie Cristescu,-1
Kevin Bacon,Maria Aarup-Sørensen,4.
Kevin Bacon,Kim Bildsøe Lassen,3.
Kevin Bacon,Steffen Gram,3.
Kevin Bacon,Jean Pierre Morales,3.
Kevin Bacon,Gabriel Americano,4.
Kevin Bacon,Nathalia Ferrán,4.
Kevin Bacon,Marius Rosu,-1
Kevin Bacon,Erica Inácio,4.
Kevin Bacon,Eckehard Dux,-1
Kevin Bacon,Dragos Motiu,-1
Kevin Bacon,Rey Fortanel,-1
Kevin Bacon,Nathan Hansen,-1
Kevin Bacon,Rafael Righetto,4.
Kevin Bacon,Mel Queiroz,4.
Kevin Bacon,Rafael Oliveira,3.
Kevin Bacon,Erik Viinberg,3.
Kevin Bacon,Jair Melchior,3.
Kevin Bacon,Kearney Thompson,-1
Kevin Bacon,Mohamed Djeziri,3.
Kevin Bacon,Stacie Gracie,-1
Kevin Bacon,Olga Obraztsova,-1
Kevin Bacon,Erica Medina,-1
Kevin Bacon,Mikhail Meshchaninov,-1
Kevin Bacon,Priscilla Nguyen,-1
Kevin Bacon,Julie Gaia Poupětová,-1
Kevin Bacon,Thea Bell Schok,3.
Kevin Bacon,Caroline Juel Lystbæk-Hansen,3.
Kevin Bacon,Ingrid-Marie Thorlacius Troelsen,3.
Kevin Bacon,Laura Brink Madsen,3.
Kevin Bacon,Jonathan Brink Madsen,3.
Kevin Bacon,Surush Deimkar,3.
Kevin Bacon,"Rabuja ""Kaka"" Willer",3.
Kevin Bacon,Amiin Karami,3.
Kevin Bacon,Caner Karaüç,-1
Kevin Bacon,Bektaş Erdoğan,4.
Kevin Bacon,Al Acain,2.
Kevin Bacon,Dušan Záhoranský,-1
Kevin Bacon,Ingrid Mignone,-1
Kevin Bacon,Michelle Fellner,-1
Kevin Bacon,Kevan,6.
Kevin Bacon,Charles Gagnon,-1
Kevin Bacon,Srinivas P. Babu,-1
Kevin Bacon,Cristi Andrei Parpalita,-1
Kevin Bacon,Oliver MacPhee,-1
Kevin Bacon,Mark Hanscomb,-1
Kevin Bacon,Erika Kulpina,-1
Kevin Bacon,Alec Lemonde,-1
Kevin Bacon,Daisy Woodhams,5.
Kevin Bacon,David Votava,-1
Kevin Bacon,Vince Jeney,4.
Kevin Bacon,Kevin Rencz,4.
Kevin Bacon,Ralf Holzhausen,3.
Kevin Bacon,Ion Toma,3.
Kevin Bacon,Pavla Sceranková,-1
Kevin Bacon,Ketevan Orakhelashvili,4.
Kevin Bacon,Sergėjus Jovaiša,-1
Kevin Bacon,Vladas Garastas,-1
Kevin Bacon,Ferdinandas Kauzonas,-1
Kevin Bacon,Jiří Franta,-1
Kevin Bacon,Flávia Prosdocimi,3.
Kevin Bacon,Leticia Chahaira,3.
Kevin Bacon,Carlos Lavilla,3.
Kevin Bacon,Jānis Brunovskis,-1
Kevin Bacon,José Luis Gervás,3.
Kevin Bacon,Antanas Blyža,-1
Kevin Bacon,Taciana Brown,3.
Kevin Bacon,Aldis Bērziņš,-1
Kevin Bacon,Martin Ehrenhauser,-1
Kevin Bacon,Norbert Godji,3.
Kevin Bacon,Vladas Garastas,-1
Kevin Bacon,Uliva Pizzetti,-1
Kevin Bacon,Manju Bhashini,3.
Kevin Bacon,Mamatha Rao,3.
Kevin Bacon,Tracie Gutierez,-1
Kevin Bacon,Matt Rosito,-1
Kevin Bacon,Travis Sherman,-1
Kevin Bacon,Peter Pagnamenta,-1
Kevin Bacon,Dan Morgan,3.
Kevin Bacon,Emma Echols,-1
Kevin Bacon,Dusty Dougherty,-1
Kevin Bacon,Noah Lunes,-1
