actor_a,actor_b,links
Kevin Bacon,Jody Patton,-2
Kevin Bacon,Mitchell Hooper,-2
Kevin Bacon,Shinichi Hashizawa,3.
Kevin Bacon,Uschi Erber,-1
Kevin Bacon,Ira Gershwin,-2
Kevin Bacon,Cynthea Mercado,3.
Kevin Bacon,Timia Berthome,3.
Kevin Bacon,Piper de Palma,3.
Kevin Bacon,Max Enderfors,3.
Kevin Bacon,Jack Blum,2.
Kevin Bacon,Sergen Deveci,4.
Kevin Bacon,Jamie Darling,3.
Kevin Bacon,Marko Živić,3.
Kevin Bacon,Igballe Qena,3.
Kevin Bacon,Lorna Bliss,3.
Kevin Bacon,Colin Lane,3.
Kevin Bacon,Tracey Kaplan,-2
Kevin Bacon,Wolfgang Hellmund,3.
Kevin Bacon,Bruno Hébert,3.
Kevin Bacon,Takako Tate,3.
Kevin Bacon,Roberto Gavaldón,3.
Kevin Bacon,Mark Ibold,3.
Kevin Bacon,Ui Mihara,-2
Kevin Bacon,Matt Leddo,2.
Kevin Bacon,Maribel Fernández,3.
Kevin Bacon,Stephanie Moreau,3.
Kevin Bacon,Mark Bedell,3.
Kevin Bacon,William A. Anderson,-1
Kevin Bacon,Pierce Brown,-2
Kevin Bacon,Elaine Welteroth,-2
Kevin Bacon,Charles Waterstreet,-2
Kevin Bacon,LeighAnn Gould,-2
Kevin Bacon,V. Madhusudhan Rao,-2
Kevin Bacon,Zuzanna Lit,-2
Kevin Bacon,Jason Piatt,-1
Kevin Bacon,Dietrich Burmester,-2
Kevin Bacon,Norm Silver,2.
Kevin Bacon,Carol Lobravico,3.
Kevin Bacon,Cândido Portinari,-2
Kevin Bacon,Jamie Javier Guerreo,-2
Kevin Bacon,Saff Saffery,-2
Kevin Bacon,Miki Vouk,3.
Kevin Bacon,Pavel Dungl,-2
Kevin Bacon,Grzegorz Pawlak,3.
Kevin Bacon,Eugenia Bostwick-Singer,-1
Kevin Bacon,Gavin Andresen,4.
Kevin Bacon,Howard Louis McNeely,3.
Kevin Bacon,Masahiro Yamada,-2
