number,house_control,senate_control,congress_control,trifecta_control,start_date,end_date
1,Federalist,Federalist,Federalist,Federalist,1789-03-04,1791-03-03
2,Federalist,Federalist,Federalist,Federalist,1791-03-04,1793-03-03
3,Democratic-Republican,Federalist,,,1793-03-04,1795-03-03
4,Democratic-Republican,Federalist,,,1795-03-04,1797-03-03
5,Federalist,Federalist,Federalist,Federalist,1797-03-04,1799-03-03
6,Federalist,Federalist,Federalist,Federalist,1799-03-04,1801-03-03
7,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1801-03-04,1803-03-03
8,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1803-03-04,1805-03-03
9,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1805-03-04,1807-03-03
10,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1807-03-04,1809-03-03
11,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1809-03-04,1811-03-03
12,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1811-03-04,1813-03-03
13,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1813-03-04,1815-03-03
14,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1815-03-04,1817-03-03
15,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1817-03-04,1819-03-03
16,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1819-03-04,1821-03-03
17,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1821-03-04,1823-03-03
18,Democratic-Republican,Democratic-Republican,Democratic-Republican,Democratic-Republican,1823-03-04,1825-03-03
19,Anti-Jacksonian,Jacksonian,,,1825-03-04,1827-03-03
20,Jacksonian,Jacksonian,Jacksonian,,1827-03-04,1829-03-03
21,Jacksonian,Jacksonian,Jacksonian,Jacksonian,1829-03-04,1831-03-03
22,Jacksonian,Jacksonian,Jacksonian,Jacksonian,1831-03-04,1833-03-03
23,Jacksonian,Anti-Jacksonian,,,1833-03-04,1835-03-03
