category,type,item,link
game,rendering,Vulkan,https://www.vulkan.org
game,rendering,OpenGL,https://www.opengl.org
game,rendering,WebGL,https://get.webgl.org
game,rendering,Metal,https://developer.apple.com/metal
game,rendering,Three.js,https://threejs.org
game,rendering,Babylon.js,https://www.babylonjs.com
game,rendering,WebGPU,https://www.w3.org/TR/webgpu
game,rendering,PlayCanvas,https://playcanvas.com
game,rendering,Wgpu,https://wgpu.rs
game,physics,PhysX,https://developer.nvidia.com/physx-sdk
game,physics,Havok,https://www.havok.com
game,physics,Rapier,https://rapier.rs
game,physics,Box2D,https://box2d.org
game,physics,Bullet,https://pybullet.org
game,physics,Matter.js,https://brm.io/matter-js
game,physics,Ammo.js,https://github.com/kripken/ammo.js
game,physics,Chipmunk,https://chipmunk-physics.net
game,physics,Cannon.js,https://cannonjs.org
game,physics,Jolt,https://joltphysics.org
game,tooling,Blender,https://www.blender.org
game,tooling,Aseprite,https://www.aseprite.org
game,tooling,Tiled,https://www.mapeditor.org
game,tooling,LDtk,https://ldtk.io
game,tooling,Spine,https://esotericsoftware.com
game,tooling,TexturePacker,https://www.codeandweb.com/texturepacker
game,tooling,Audacity,https://www.audacityteam.org
game,tooling,GIMP,https://www.gimp.org
game,tooling,Krita,https://krita.org
game,tooling,Material Maker,https://www.materialmaker.org
cli,language,Go,https://go.dev
cli,language,Rust,https://www.rust-lang.org
cli,language,TypeScript,https://www.typescriptlang.org
cli,language,Python,https://www.python.org
cli,language,Ruby,https://www.ruby-lang.org
cli,language,Kotlin,https://kotlinlang.org
cli,language,C,https://en.cppreference.com
cli,language,Haskell,https://www.haskell.org
cli,language,Java,https://www.java.com
cli,language,Nim,https://nim-lang.org
cli,parser,Cobra,https://cobra.dev
cli,parser,Clap,https://docs.rs/clap
cli,parser,Commander,https://github.com/tj/commander.js
cli,parser,Click,https://click.palletsprojects.com
cli,parser,optparse,https://ruby-doc.org/stdlib-3.0.0/libdoc/optparse/rdoc/OptionParser.html
cli,parser,Clikt,https://ajalt.github.io/clikt
cli,parser,getopt,https://www.gnu.org/software/libc/manual/html_node/Getopt.html
cli,parser,optparse-applicative,https://github.com/ublubu/optparse-applicative
cli,parser,picocli,https://picocli.info
cli,parser,cligen,https://github.com/c-blake/cligen
cli,runtime,Go,https://go.dev
cli,runtime,Rust,https://www.rust-lang.org
cli,runtime,Node.js,https://nodejs.org
cli,runtime,Python,https://www.python.org
cli,runtime,Ruby,https://www.ruby-lang.org
cli,runtime,JVM,https://www.java.com
cli,runtime,C,https://en.cppreference.com
cli,runtime,GHC,https://www.haskell.org/ghc
cli,runtime,JVM,https://www.java.com
cli,runtime,Nim,https://nim-lang.org
cli,tui,Bubble Tea,https://github.com/charmbracelet/bubbletea
cli,tui,Ratatui,https://github.com/ratatui-org/ratatui
cli,tui,Ink,https://github.com/vadimdemedes/ink
cli,tui,Textual,https://github.com/Textualize/textual
cli,tui,TTY,https://github.com/piotrmurach/tty
cli,tui,Mordant,https://github.com/ajalt/mordant
cli,tui,ncurses,https://invisible-island.net/ncurses
cli,tui,Brick,https://github.com/jtdaugherty/brick
cli,tui,Lanterna,https://github.com/mabe02/lanterna
cli,tui,illwill,https://github.com/johnnovak/illwill
data-science,language,Python,https://www.python.org
data-science,language,R,https://www.r-project.org
data-science,language,Julia,https://julialang.org
data-science,language,Scala,https://scala-lang.org
data-science,language,SQL,https://www.w3schools.com/sql
data-science,language,TypeScript,https://www.typescriptlang.org
data-science,language,MATLAB,https://www.mathworks.com
data-science,language,Go,https://go.dev
data-science,language,Rust,https://www.rust-lang.org
data-science,language,Java,https://www.java.com
data-science,framework,PyTorch,https://pytorch.org
data-science,framework,TensorFlow,https://www.tensorflow.org
data-science,framework,JAX,https://jax.readthedocs.io
data-science,framework,XGBoost,https://xgboost.readthedocs.io
data-science,framework,LangChain,https://www.langchain.com
data-science,framework,Hugging Face,https://huggingface.co
data-science,framework,Scikit-learn,https://scikit-learn.org
data-science,framework,Keras,https://keras.io
data-science,framework,LightGBM,https://lightgbm.readthedocs.io
data-science,framework,CatBoost,https://catboost.ai
data-science,viz,Matplotlib,https://matplotlib.org
data-science,viz,Seaborn,https://seaborn.pydata.org
data-science,viz,Plotly,https://plotly.com
data-science,viz,Bokeh,https://bokeh.org
data-science,viz,Vega-Lite,https://vega.github.io/vega-lite
data-science,viz,D3.js,https://d3js.org
data-science,viz,Grafana,https://grafana.com
data-science,viz,Tableau,https://www.tableau.com
data-science,viz,Altair,https://altair-viz.github.io
data-science,viz,Looker,https://cloud.google.com/looker
data-science,notebook,Jupyter,https://jupyter.org
data-science,notebook,RStudio,https://posit.co
data-science,notebook,JupyterLab,https://jupyterlab.readthedocs.io
data-science,notebook,Colab,https://colab.research.google.com
data-science,notebook,Observable,https://observablehq.com
data-science,notebook,Deepnote,https://deepnote.com
data-science,notebook,Kaggle,https://www.kaggle.com
data-science,notebook,VS Code,https://code.visualstudio.com
data-science,notebook,Quarto,https://quarto.org
data-science,notebook,Hex,https://hex.tech
