category,type,item,link
web,framework,React,https://react.dev
web,framework,Vue,https://vuejs.org
web,framework,Angular,https://angular.dev
web,framework,Svelte,https://svelte.dev
web,framework,Solid,https://solidjs.com
web,framework,Lit,https://lit.dev
web,framework,Qwik,https://qwik.dev
web,framework,Alpine,https://alpinejs.dev
web,framework,Preact,https://preactjs.com
web,framework,Ember,https://emberjs.com
web,styling,Tailwind CSS,https://tailwindcss.com
web,styling,DaisyUI,https://daisyui.com
web,styling,Material UI,https://mui.com
web,styling,Shadcn/ui,https://ui.shadcn.com
web,styling,UnoCSS,https://unocss.dev
web,styling,Mantine,https://mantine.dev
web,styling,Radix UI,https://www.radix-ui.com
web,styling,Headless UI,https://headlessui.com
web,styling,Chakra UI,https://www.chakra-ui.com
web,styling,Ant Design,https://ant.design
web,backend,Express.js,https://expressjs.com
web,backend,Django,https://www.djangoproject.com
web,backend,Spring Boot,https://spring.io/projects/spring-boot
web,backend,Hono,https://hono.dev
web,backend,FastAPI,https://fastapi.tiangolo.com
web,backend,Nest.js,https://nestjs.com
web,backend,Axum,https://github.com/tokio-rs/axum
web,backend,Rails,https://rubyonrails.org
web,backend,Gin,https://gin-gonic.com
web,backend,Ktor,https://ktor.io
web,database,PostgreSQL,https://www.postgresql.org
web,database,SQLite,https://www.sqlite.org
web,database,MySQL,https://www.mysql.com
web,database,Turso,https://turso.tech
web,database,MongoDB,https://www.mongodb.com
web,database,Prisma,https://www.prisma.io
web,database,Redis,https://redis.io
web,database,Neon,https://neon.tech
web,database,PlanetScale,https://planetscale.com
web,database,Supabase,https://supabase.com
mobile,framework,React Native,https://reactnative.dev
mobile,framework,Flutter,https://flutter.dev
mobile,framework,Kotlin Multiplatform,https://www.jetbrains.com/kotlin-multiplatform
mobile,framework,Expo,https://expo.dev
mobile,framework,Ionic,https://ionicframework.com
mobile,framework,Capacitor,https://capacitorjs.com
mobile,framework,SwiftUI,https://developer.apple.com/xcode/swiftui
mobile,framework,Jetpack Compose,https://developer.android.com/compose
mobile,framework,NativeScript,https://nativescript.org
mobile,framework,Xamarin,https://dotnet.microsoft.com/apps/xamarin
mobile,styling,NativeWind,https://www.nativewind.dev
mobile,styling,Tailwind CSS,https://tailwindcss.com
mobile,styling,Shadcn/ui,https://ui.shadcn.com
mobile,styling,Tamagui,https://tamagui.dev
mobile,styling,Styled Components,https://styled-components.com
mobile,styling,UnoCSS,https://unocss.dev
mobile,styling,Emotion,https://emotion.sh
mobile,styling,Restyle,https://github.com/Shopify/restyle
mobile,styling,Gluestack,https://gluestack.io
mobile,styling,StyleX,https://stylexjs.com
mobile,store,App Store,https://www.apple.com/app-store
mobile,store,Google Play,https://play.google.com
mobile,store,Amazon Appstore,https://www.amazon.com/appstore
mobile,store,Huawei AppGallery,https://appgallery.huawei.com
mobile,store,F-Droid,https://f-droid.org
mobile,store,Samsung Galaxy Store,https://galaxystore.samsung.com
mobile,store,APKPure,https://apkpure.com
mobile,store,Aptoide,https://www.aptoide.com
mobile,store,Tizen Store,https://developer.tizen.org
mobile,store,GetJar,https://www.getjar.com
mobile,backend,Firebase,https://firebase.google.com
mobile,backend,Supabase,https://supabase.com
mobile,backend,AWS Amplify,https://aws.amazon.com/amplify
mobile,backend,Appwrite,https://appwrite.io
mobile,backend,Parse,https://parseplatform.org
mobile,backend,PocketBase,https://pocketbase.io
mobile,backend,Nhost,https://nhost.io
mobile,backend,Kinvey,https://www.kinvey.com
mobile,backend,Backendless,https://backendless.com
mobile,backend,Realm,https://realm.io
desktop,framework,Electron,https://www.electronjs.org
desktop,framework,Tauri,https://v2.tauri.app
desktop,framework,Qt,https://www.qt.io
desktop,framework,.NET MAUI,https://learn.microsoft.com/dotnet/maui
desktop,framework,Flutter Desktop,https://flutter.dev
desktop,framework,Compose Multiplatform,https://www.jetbrains.com/lp/compose-multiplatform
desktop,framework,JavaFX,https://openjfx.io
desktop,framework,SwiftUI macOS,https://developer.apple.com/xcode/swiftui
desktop,framework,Uno Platform,https://platform.uno
desktop,framework,Avalonia,https://www.avaloniaui.net
desktop,ui-toolkit,CEF,https://bitbucket.org/chromiumembedded/cef
desktop,ui-toolkit,WebView,https://developer.android.com/reference/android/webkit/WebView
desktop,ui-toolkit,Qt Widgets,https://doc.qt.io/qt-6/widgets-tutorial.html
desktop,ui-toolkit,WinUI,https://learn.microsoft.com/windows/apps/winui
desktop,ui-toolkit,GTK,https://www.gtk.org
desktop,ui-toolkit,Sciter,https://sciter.com
desktop,ui-toolkit,FLTK,https://www.fltk.org
desktop,ui-toolkit,Dear ImGui,https://github.com/ocornut/imgui
desktop,ui-toolkit,Nuklear,https://github.com/Immediate-Mode-UI/Nuklear
desktop,ui-toolkit,wxWidgets,https://www.wxwidgets.org
desktop,packaging,Electron Builder,https://www.electron.build
desktop,packaging,Tauri Bundler,https://v2.tauri.app
desktop,packaging,WiX,https://wixtoolset.org
desktop,packaging,NSIS,https://nsis.sourceforge.io
desktop,packaging,Inno Setup,https://jrsoftware.org/isinfo.php
desktop,packaging,DMG Canvas,https://www.dmgcanvas.com
desktop,packaging,Flatpak,https://flatpak.org
desktop,packaging,AppImage,https://appimage.org
desktop,packaging,Snap,https://snapcraft.io
desktop,packaging,Homebrew,https://brew.sh
desktop,distribution,GitHub Releases,https://github.com/features/releases
desktop,distribution,Mac App Store,https://www.apple.com/app-store
desktop,distribution,Microsoft Store,https://apps.microsoft.com
desktop,distribution,Chocolatey,https://chocolatey.org
desktop,distribution,Steam,https://store.steampowered.com
desktop,distribution,itch.io,https://itch.io
desktop,distribution,Flathub,https://flathub.org
desktop,distribution,Snap Store,https://snapcraft.io/store
desktop,distribution,Scoop,https://scoop.sh
desktop,distribution,winget,https://learn.microsoft.com/windows/package-manager/winget
game,engine,Unity,https://unity.com
game,engine,Unreal Engine,https://www.unrealengine.com
game,engine,Godot,https://godotengine.org
game,engine,GameMaker,https://gamemaker.io
game,engine,Phaser,https://phaser.io
game,engine,PixiJS,https://pixijs.com
game,engine,Construct,https://www.construct.net
game,engine,Cocos Creator,https://www.cocos.com
game,engine,Defold,https://defold.com
game,engine,Bevy,https://bevyengine.org
game,rendering,DirectX,https://learn.microsoft.com/windows/win32/directx
