section,sectionId,appId,label,primaryCategory,secondaryCategory,icon,version,lastUpdated,fileSize,href,releasesAction,releasesUrl,crxV2Url,xpiV2Url,zipV2Url,crxV3Url,xpiV3Url,zipV3Url
Extensions (Browser),extensions,ads-blocker,Ads Blocker,Utilities,Privacy,PiShieldCheck,0.0.1,2026-09-06,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-ads-blocker-latest,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-ads-blocker-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-ads-blocker-latest/ads-blocker-v2.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-ads-blocker-latest/ads-blocker-v2.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-ads-blocker-latest/ads-blocker-v2.zip,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-ads-blocker-latest/ads-blocker-v3.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-ads-blocker-latest/ads-blocker-v3.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-ads-blocker-latest/ads-blocker-v3.zip
Extensions (Browser),extensions,bored,Bored,Games,Entertainment,PiDiceOne,0.0.1,2026-09-03,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-bored-latest,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-bored-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-bored-latest/bored-v2.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-bored-latest/bored-v2.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-bored-latest/bored-v2.zip,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-bored-latest/bored-v3.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-bored-latest/bored-v3.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-bored-latest/bored-v3.zip
Extensions (Browser),extensions,githubx,GitHubX,Developer Tools,Productivity,PiBrowser,0.0.1,2026-09-03,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-githubx-latest,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-githubx-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-githubx-latest/githubx-v2.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-githubx-latest/githubx-v2.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-githubx-latest/githubx-v2.zip,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-githubx-latest/githubx-v3.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-githubx-latest/githubx-v3.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-githubx-latest/githubx-v3.zip
Extensions (Browser),extensions,hieudoanm-extension,hieudoanm Extension,Productivity,Developer Tools,PiUserCircle,1.0.0,2026-09-06,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-hieudoanm-extension-latest,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-hieudoanm-extension-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-hieudoanm-extension-latest/hieudoanm-extension-v2.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-hieudoanm-extension-latest/hieudoanm-extension-v2.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-hieudoanm-extension-latest/hieudoanm-extension-v2.zip,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-hieudoanm-extension-latest/hieudoanm-extension-v3.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-hieudoanm-extension-latest/hieudoanm-extension-v3.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-hieudoanm-extension-latest/hieudoanm-extension-v3.zip
Extensions (Browser),extensions,instax,InstaX,Social Networking,,PiImage,0.0.1,2026-09-03,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-instax-latest,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-instax-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-instax-latest/instax-v2.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-instax-latest/instax-v2.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-instax-latest/instax-v2.zip,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-instax-latest/instax-v3.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-instax-latest/instax-v3.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-instax-latest/instax-v3.zip
Extensions (Browser),extensions,new-tab,New Tab,Productivity,,PiTabs,0.0.1,2026-09-06,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-new-tab-latest,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-new-tab-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-new-tab-latest/new-tab-v2.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-new-tab-latest/new-tab-v2.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-new-tab-latest/new-tab-v2.zip,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-new-tab-latest/new-tab-v3.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-new-tab-latest/new-tab-v3.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-new-tab-latest/new-tab-v3.zip
Extensions (Browser),extensions,snapshot,Snapshot,Utilities,Graphics & Design,PiScan,0.0.1,2026-09-03,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-snapshot-latest,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-snapshot-latest,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-snapshot-latest/snapshot-v2.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-snapshot-latest/snapshot-v2.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-snapshot-latest/snapshot-v2.zip,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-snapshot-latest/snapshot-v3.crx,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-snapshot-latest/snapshot-v3.xpi,https://github.com/hieudoanm/hieudoanm.github.io/releases/download/extensions-browser-snapshot-latest/snapshot-v3.zip
