id,country,powerDistance,individualism,masculinity,uncertaintyAvoidance,longTermOrientation,indulgence
545,Albania,90,20,80,70,61,15
7062,Algeria,80,35,35,70,26,32
546,Angola,83,18,20,60,15,83
460,Argentina,49,46,56,86,20,62
7067,Armenia,85,22,50,88,61,25
459,Australia,38,90,61,51,21,71
461,Austria,11,55,79,70,60,63
7074,Azerbaijan,85,22,50,88,61,22
519,Bangladesh,80,20,55,60,47,20
7077,Belarus,95,25,20,95,81,15
462,Belgium,65,75,54,94,82,57
463,Bhutan,94,52,32,28,-1,-1
7027,Bolivia,78,10,42,87,25,46
7086,Bosnia and Herzegovina,90,22,48,87,70,44
465,Brazil,69,38,49,76,44,59
466,Bulgaria,70,30,40,85,69,16
548,Burkina Faso,70,15,50,55,27,18
467,Canada,39,80,52,48,36,68
547,Cape Verde,75,20,15,40,12,83
468,Chile,63,23,28,86,31,68
469,China,80,20,66,30,87,24
470,Colombia,67,13,64,80,13,83
471,Costa Rica,35,15,21,86,-1,-1
472,Croatia,73,33,40,80,58,33
474,Czech Republic,57,58,57,74,70,29
473,Denmark,18,74,16,23,35,70
549,Dominican Republic,65,30,65,45,13,54
475,Ecuador,78,8,63,67,-1,-1
456,Egypt,80,37,55,55,42,0
477,El Salvador,66,19,40,94,20,89
478,Estonia,40,60,30,60,82,16
457,Ethiopia,70,20,65,55,-1,46
550,Fiji,78,14,46,48,-1,-1
479,Finland,33,63,26,59,38,57
480,France,68,71,43,86,63,48
7089,Georgia,65,41,55,85,38,32
481,Germany,35,67,66,65,83,40
482,Ghana,80,15,40,65,4,72
483,Greece,60,35,57,100,45,50
484,Guatemala,95,6,37,98,-1,-1
551,Honduras,80,20,40,50,-1,-1
485,Hong Kong,68,25,57,29,61,17
520,Hungary,46,80,88,82,58,31
552,Iceland,30,60,10,50,28,67
541,India,77,48,56,40,51,26
486,Indonesia,78,14,46,48,62,38
488,Iran,58,41,43,59,14,40
521,Iraq,97,31,53,96,12,23
489,Ireland,28,70,68,35,24,65
490,Israel,13,54,47,81,38,-1
540,Italy,50,76,70,75,61,30
522,Jamaica,45,39,68,13,-1,-1
491,Japan,54,46,95,92,88,42
553,Jordan,70,30,45,65,16,43
7100,Kazakhstan,88,20,50,88,85,22
554,Kenya,70,25,60,50,-1,-1
523,Kuwait,90,25,40,80,-1,-1
543,Latvia,44,70,9,63,69,13
524,Lebanon,62,43,48,57,22,10
542,Libya,100,35,66,67,15,74
544,Lithuania,42,60,19,65,82,16
493,Luxembourg,40,60,50,70,64,56
555,Malawi,70,30,40,50,-1,-1
494,Malaysia,100,26,50,36,41,57
525,Malta,56,59,47,96,47,66
495,Mexico,81,30,69,82,24,97
7102,Moldova,90,27,39,95,71,19
7132,Montenegro,88,24,48,90,75,20
496,Morocco,70,46,53,68,14,25
556,Mozambique,85,15,38,44,11,80
464,Namibia,65,30,40,45,35,-1
557,Nepal,65,30,40,40,-1,-1
487,Netherlands,38,80,14,53,67,68
532,New Zealand,22,79,58,49,33,75
526,Nigeria,80,30,60,55,13,84
7113,North Macedonia,90,22,45,87,62,35
497,Norway,31,69,8,50,35,55
498,Pakistan,55,14,50,70,50,0
499,Panama,95,11,44,86,-1,-1
7034,Paraguay,70,12,40,85,20,56
500,Peru,64,16,42,87,25,46
501,Philippines,94,32,64,44,27,42
502,Poland,68,60,64,93,38,29
503,Portugal,63,27,31,99,28,33
561,Puerto Rico,68,27,56,38,0,90
3873,Qatar,93,25,55,80,-1,-1
504,Romania,90,30,42,90,52,20
505,Russia,93,39,36,95,81,20
7147,São Tomé and Príncipe,75,37,24,70,32,41
531,Saudi Arabia,72,48,43,64,27,14
558,Senegal,70,25,45,55,25,-1
534,Serbia,86,25,43,92,52,28
527,Sierra Leone,70,20,40,50,-1,-1
506,Singapore,74,20,48,8,72,46
507,Slovakia,100,52,100,51,77,28
535,Slovenia,71,27,19,88,49,48
528,South Africa,49,65,63,49,34,63
492,South Korea,60,18,39,85,100,29
508,Spain,57,51,42,86,48,44
559,Sri Lanka,80,35,10,45,45,-1
509,Suriname,85,47,37,92,-1,-1
510,Sweden,31,71,5,29,53,78
511,Switzerland,34,68,70,58,74,66
560,Syria,80,35,52,60,30,-1
536,Taiwan,58,17,45,69,93,49
529,Tanzania,70,25,40,50,34,38
512,Thailand,64,20,34,64,32,45
538,Trinidad and Tobago,47,16,58,55,13,80
7149,Tunisia,70,40,40,75,-1,-1
513,Turkey,66,37,45,85,46,49
533,Ukraine,92,25,27,95,86,14
518,United Arab Emirates,74,36,52,66,22,22
514,United Kingdom,35,89,66,35,51,69
515,United States,40,91,62,46,26,68
539,Uruguay,61,36,38,98,26,53
516,Venezuela,81,12,73,76,16,100
537,Vietnam,70,20,40,30,57,35
530,Zambia,60,35,40,50,30,42
