year,era,count
896,Kanpyō,8
897,Kanpyō,9
898,Kanpyō,10
898,Shōtai,1
899,Shōtai,2
900,Shōtai,3
901,Shōtai,4
901,Engi,1
902,Engi,2
903,Engi,3
904,Engi,4
905,Engi,5
906,Engi,6
907,Engi,7
908,Engi,8
909,Engi,9
910,Engi,10
911,Engi,11
912,Engi,12
913,Engi,13
914,Engi,14
915,Engi,15
916,Engi,16
917,Engi,17
918,Engi,18
919,Engi,19
920,Engi,20
921,Engi,21
922,Engi,22
923,Engi,23
923,Enchō,1
924,Enchō,2
925,Enchō,3
926,Enchō,4
927,Enchō,5
928,Enchō,6
929,Enchō,7
930,Enchō,8
931,Enchō,9
931,Jōhei,1
932,Jōhei,2
933,Jōhei,3
934,Jōhei,4
935,Jōhei,5
936,Jōhei,6
937,Jōhei,7
938,Jōhei,8
938,Tengyō,1
939,Tengyō,2
940,Tengyō,3
941,Tengyō,4
942,Tengyō,5
943,Tengyō,6
944,Tengyō,7
945,Tengyō,8
946,Tengyō,9
947,Tengyō,10
947,Tenryaku,1
948,Tenryaku,2
949,Tenryaku,3
950,Tenryaku,4
951,Tenryaku,5
952,Tenryaku,6
953,Tenryaku,7
954,Tenryaku,8
955,Tenryaku,9
956,Tenryaku,10
957,Tenryaku,11
957,Tentoku,1
958,Tentoku,2
959,Tentoku,3
960,Tentoku,4
961,Tentoku,5
961,Ōwa,1
962,Ōwa,2
963,Ōwa,3
964,Ōwa,4
964,Kōhō,1
965,Kōhō,2
966,Kōhō,3
967,Kōhō,4
968,Kōhō,5
968,Anna,1
969,Anna,2
970,Anna,3
970,Tenroku,1
971,Tenroku,2
972,Tenroku,3
973,Tenroku,4
973,Ten'en,1
974,Ten'en,2
975,Ten'en,3
976,Ten'en,4
976,Jōgen,1
977,Jōgen,2
978,Jōgen,3
978,Tengen,1
979,Tengen,2
980,Tengen,3
981,Tengen,4
982,Tengen,5
983,Tengen,6
983,Eikan,1
984,Eikan,2
985,Eikan,3
985,Kanna,1
986,Kanna,2
987,Kanna,3
987,Eien,1
988,Eien,2
989,Eien,3
989,Eiso,1
990,Eiso,2
990,Shōryaku,1
991,Shōryaku,2
992,Shōryaku,3
993,Shōryaku,4
994,Shōryaku,5
995,Shōryaku,6
995,Chōtoku,1
996,Chōtoku,2
997,Chōtoku,3
998,Chōtoku,4
999,Chōtoku,5
999,Chōhō,1
1000,Chōhō,2
1001,Chōhō,3
1002,Chōhō,4
1003,Chōhō,5
1004,Chōhō,6
1004,Kankō,1
1005,Kankō,2
1006,Kankō,3
1007,Kankō,4
1008,Kankō,5
1009,Kankō,6
1010,Kankō,7
1011,Kankō,8
1012,Kankō,9
1012,Chōwa,1
1013,Chōwa,2
1014,Chōwa,3
1015,Chōwa,4
1016,Chōwa,5
1017,Chōwa,6
1017,Kannin,1
1018,Kannin,2
1019,Kannin,3
1020,Kannin,4
1021,Kannin,5
1021,Jian,1
1022,Jian,2
1023,Jian,3
1024,Jian,4
1024,Manju,1
1025,Manju,2
1026,Manju,3
1027,Manju,4
1028,Manju,5
1028,Chōgen,1
1029,Chōgen,2
1030,Chōgen,3
1031,Chōgen,4
1032,Chōgen,5
1033,Chōgen,6
1034,Chōgen,7
1035,Chōgen,8
1036,Chōgen,9
1037,Chōgen,10
1037,Chōryaku,1
1038,Chōryaku,2
1039,Chōryaku,3
1040,Chōryaku,4
1040,Chōkyū,1
1041,Chōkyū,2
1042,Chōkyū,3
1043,Chōkyū,4
1044,Chōkyū,5
1044,Kantoku,1
1045,Kantoku,2
1046,Kantoku,3
1046,Eishō,1
1047,Eishō,2
1048,Eishō,3
1049,Eishō,4
1050,Eishō,5
1051,Eishō,6
1052,Eishō,7
1053,Eishō,8
1053,Tengi,1
1054,Tengi,2
1055,Tengi,3
1056,Tengi,4
1057,Tengi,5
1058,Tengi,6
1058,Kōhei,1
1059,Kōhei,2
1060,Kōhei,3
1061,Kōhei,4
1062,Kōhei,5
1063,Kōhei,6
1064,Kōhei,7
1065,Kōhei,8
1065,Jiryaku,1
1066,Jiryaku,2
1067,Jiryaku,3
1068,Jiryaku,4
1069,Jiryaku,5
1069,Enkyū,1
1070,Enkyū,2
1071,Enkyū,3
1072,Enkyū,4
1073,Enkyū,5
1074,Enkyū,6
1074,Jōhō,1
1075,Jōhō,2
1076,Jōhō,3
1077,Jōhō,4
1077,Jōryaku,1
1078,Jōryaku,2
1079,Jōryaku,3
1080,Jōryaku,4
1081,Jōryaku,5
1081,Eihō,1
1082,Eihō,2
1083,Eihō,3
1084,Eihō,4
1084,Ōtoku,1
1085,Ōtoku,2
1086,Ōtoku,3
1087,Ōtoku,4
1087,Kanji,1
1088,Kanji,2
1089,Kanji,3
1090,Kanji,4
1091,Kanji,5
1092,Kanji,6
1093,Kanji,7
1094,Kanji,8
1094,Kahō,1
1095,Kahō,2
1096,Kahō,3
1096,Eichō,1
1097,Eichō,2
1097,Shōtoku,1
1098,Shōtoku,2
1099,Shōtoku,3
1099,Kōwa,1
1100,Kōwa,2
1101,Kōwa,3
1102,Kōwa,4
1103,Kōwa,5
1104,Kōwa,6
1104,Chōji,1
1105,Chōji,2
1106,Chōji,3
1106,Kashō,1
1107,Kashō,2
1108,Kashō,3
1108,Tennin,1
1109,Tennin,2
1110,Tennin,3
1110,Tennei,1
1111,Tennei,2
1112,Tennei,3
1113,Tennei,4
1113,Eikyū,1
1114,Eikyū,2
1115,Eikyū,3
1116,Eikyū,4
1117,Eikyū,5
1118,Eikyū,6
1118,Gen'ei,1
1119,Gen'ei,2
1120,Gen'ei,3
1120,Hōan,1
1121,Hōan,2
1122,Hōan,3
1123,Hōan,4
1124,Hōan,5
1124,Tenji,1
1125,Tenji,2
1126,Tenji,3
1126,Daiji,1
1127,Daiji,2
1128,Daiji,3
1129,Daiji,4
1130,Daiji,5
1131,Daiji,6
1131,Tenshō,1
1132,Tenshō,2
1132,Chōshō,1
1133,Chōshō,2
1134,Chōshō,3
1135,Chōshō,4
1135,Hōen,1
1136,Hōen,2
1137,Hōen,3
1138,Hōen,4
1139,Hōen,5
1140,Hōen,6
1141,Hōen,7
1141,Eiji,1
1142,Eiji,2
1142,Kōji,1
1143,Kōji,2
1144,Kōji,3
1144,Tenyō,1
1145,Tenyō,2
1145,Kyūan,1
1146,Kyūan,2
1147,Kyūan,3
1148,Kyūan,4
1149,Kyūan,5
1150,Kyūan,6
1151,Kyūan,7
1151,Ninpei,1
1152,Ninpei,2
1153,Ninpei,3
1154,Ninpei,4
1154,Kyūju,1
1155,Kyūju,2
1156,Kyūju,3
1156,Hōgen,1
1157,Hōgen,2
1158,Hōgen,3
1159,Hōgen,4
1159,Heiji,1
1160,Heiji,2
1160,Eiryaku,1
1161,Eiryaku,2
1161,Ōhō,1
1162,Ōhō,2
1163,Ōhō,3
1163,Chōkan,1
1164,Chōkan,2
1165,Chōkan,3
1165,Eiman,1
1166,Eiman,2
1166,Nin'an,1
1167,Nin'an,2
1168,Nin'an,3
1169,Nin'an,4
1169,Kaō,1
1170,Kaō,2
1171,Kaō,3
1171,Shōan,1
1172,Shōan,2
1173,Shōan,3
1174,Shōan,4
1175,Shōan,5
1175,Angen,1
1176,Angen,2
1177,Angen,3
1177,Jishō,1
1178,Jishō,2
1179,Jishō,3
1180,Jishō,4
1181,Jishō,5
1181,Yōwa,1
1182,Yōwa,2
1182,Juei,1
1183,Juei,2
1184,Juei,3
1184,Genryaku,1
1185,Genryaku,2
1185,Bunji,1
1186,Bunji,2
1187,Bunji,3
1188,Bunji,4
1189,Bunji,5
1190,Bunji,6
1190,Kenkyū,1
1191,Kenkyū,2
1192,Kenkyū,3
1193,Kenkyū,4
1194,Kenkyū,5
1195,Kenkyū,6
1196,Kenkyū,7
1197,Kenkyū,8
1198,Kenkyū,9
1199,Kenkyū,10
1199,Shōji,1
1200,Shōji,2
1201,Shōji,3
1201,Kennin,1
1202,Kennin,2
1203,Kennin,3
1204,Kennin,4
1204,Genkyū,1
1205,Genkyū,2
1206,Genkyū,3
1206,Ken'ei,1
1207,Ken'ei,2
1207,Jōgen,1
1208,Jōgen,2
1209,Jōgen,3
1210,Jōgen,4
1211,Jōgen,5
1211,Kenryaku,1
1212,Kenryaku,2
1213,Kenryaku,3
1213,Kenpō,1
1214,Kenpō,2
1215,Kenpō,3
1216,Kenpō,4
1217,Kenpō,5
1218,Kenpō,6
1219,Kenpō,7
1219,Shōkyū,1
1220,Shōkyū,2
1221,Shōkyū,3
1222,Shōkyū,4
1222,Jōō,1
1223,Jōō,2
1224,Jōō,3
1224,Gennin,1
1225,Gennin,2
1225,Karoku,1
1226,Karoku,2
1227,Karoku,3
1227,Antei,1
1228,Antei,2
1229,Antei,3
1229,Kanki,1
1230,Kanki,2
1231,Kanki,3
1232,Kanki,4
1232,Jōei,1
1233,Jōei,2
1233,Tempuku,1
1234,Tempuku,2
1234,Bunryaku,1
1235,Bunryaku,2
1235,Katoku,1
1236,Katoku,2
1237,Katoku,3
1238,Katoku,4
1238,Ryaku nin,1
1239,Ryaku nin,2
1239,En'ō,1
1240,En'ō,2
1240,Ninji,1
1241,Ninji,2
1242,Ninji,3
1243,Ninji,4
1243,Kangen,1
1244,Kangen,2
1245,Kangen,3
1246,Kangen,4
1247,Kangen,5
1247,Hōji,1
1248,Hōji,2
1249,Hōji,3
1249,Kenchō,1
1250,Kenchō,2
1251,Kenchō,3
1252,Kenchō,4
1253,Kenchō,5
1254,Kenchō,6
1255,Kenchō,7
1256,Kenchō,8
1256,Kōgen,1
1257,Kōgen,2
1257,Shōka,1
1258,Shōka,2
1259,Shōka,3
1259,Shōgen,1
1260,Shōgen,2
1260,Bun'ō,1
1261,Bun'ō,2
1261,Kōchō,1
1262,Kōchō,2
1263,Kōchō,3
1264,Kōchō,4
1264,Bun'ei,1
1265,Bun'ei,2
1266,Bun'ei,3
1267,Bun'ei,4
1268,Bun'ei,5
1269,Bun'ei,6
1270,Bun'ei,7
1271,Bun'ei,8
1272,Bun'ei,9
1273,Bun'ei,10
1274,Bun'ei,11
1275,Bun'ei,12
1275,Kenchi,1
1276,Kenchi,2
1277,Kenchi,3
1278,Kenchi,4
1278,Kōan,1
1279,Kōan,2
1280,Kōan,3
1281,Kōan,4
1282,Kōan,5
1283,Kōan,6
1284,Kōan,7
1285,Kōan,8
1286,Kōan,9
1287,Kōan,10
1288,Kōan,11
1288,Shōō,1
1289,Shōō,2
1290,Shōō,3
1291,Shōō,4
1292,Shōō,5
1293,Shōō,6
1293,Einin,1
1294,Einin,2
1295,Einin,3
1296,Einin,4
1297,Einin,5
1298,Einin,6
1299,Einin,7
1299,Shōan,1
1300,Shōan,2
1301,Shōan,3
1302,Shōan,4
1302,Kengen,1
1303,Kengen,2
1303,Kagen,1
1304,Kagen,2
1305,Kagen,3
1306,Kagen,4
1306,Tokuji,1
1307,Tokuji,2
1308,Tokuji,3
1308,Enkyō,1
1309,Enkyō,2
1310,Enkyō,3
1311,Enkyō,4
1311,Ōchō,1
1312,Ōchō,2
1312,Shōwa,1
1313,Shōwa,2
1314,Shōwa,3
1315,Shōwa,4
1316,Shōwa,5
1317,Shōwa,6
1317,Bunpō,1
1318,Bunpō,2
1319,Bunpō,3
1319,Gen'ō,1
1320,Gen'ō,2
1321,Gen'ō,3
1321,Genkō,1
1322,Genkō,2
1323,Genkō,3
1324,Genkō,4
1324,Shōchū,1
1325,Shōchū,2
1326,Shōchū,3
1326,Karyaku,1
1327,Karyaku,2
1328,Karyaku,3
1329,Karyaku,4
1329,Gentoku,1
1330,Gentoku,2
1331,Gentoku,3
1331,Genkō,1
1332,Genkō,2
1333,Genkō,3
1334,Genkō,4
1334,Kenmu,1
1335,Kenmu,2
1336,Kenmu,3
1338,Ryakuō,1
1339,Ryakuō,2
1340,Ryakuō,3
1341,Ryakuō,4
1342,Ryakuō,5
1342,Kōei,1
1343,Kōei,2
1344,Kōei,3
1345,Kōei,4
1345,Jōwa,1
1346,Jōwa,2
1347,Jōwa,3
1348,Jōwa,4
1349,Jōwa,5
1350,Jōwa,6
1350,Kannon,1
1351,Kannon,2
1352,Kannon,3
1352,Bunna,1
1353,Bunna,2
1354,Bunna,3
1355,Bunna,4
1356,Bunna,5
1356,Enbun,1
1357,Enbun,2
1358,Enbun,3
1359,Enbun,4
1360,Enbun,5
1361,Enbun,6
1361,Kōan,1
1362,Kōan,2
1362,Jōji,1
1363,Jōji,2
1364,Jōji,3
1365,Jōji,4
1366,Jōji,5
1367,Jōji,6
1368,Jōji,7
1368,Ōan,1
1369,Ōan,2
1370,Ōan,3
1371,Ōan,4
1372,Ōan,5
1373,Ōan,6
1374,Ōan,7
1375,Ōan,8
1375,Eiwa,1
1376,Eiwa,2
1377,Eiwa,3
1378,Eiwa,4
1379,Eiwa,5
1379,Kōryaku,1
1380,Kōryaku,2
1381,Kōryaku,3
1381,Eitoku,1
1382,Eitoku,2
1383,Eitoku,3
1384,Eitoku,4
1384,Shitoku,1
1385,Shitoku,2
1386,Shitoku,3
1387,Shitoku,4
1387,Kakei,1
1388,Kakei,2
1389,Kakei,3
1389,Kōō,1
1390,Kōō,2
1390,Meitoku,1
1391,Meitoku,2
1392,Meitoku,3
1393,Meitoku,4
1394,Meitoku,5
1394,Ōei,1
1395,Ōei,2
1396,Ōei,3
1397,Ōei,4
1398,Ōei,5
1399,Ōei,6
1400,Ōei,7
1401,Ōei,8
1402,Ōei,9
1403,Ōei,10
1404,Ōei,11
1405,Ōei,12
1406,Ōei,13
1407,Ōei,14
1408,Ōei,15
1409,Ōei,16
1410,Ōei,17
1411,Ōei,18
1412,Ōei,19
1413,Ōei,20
1414,Ōei,21
1415,Ōei,22
1416,Ōei,23
1417,Ōei,24
1418,Ōei,25
1419,Ōei,26
1420,Ōei,27
1421,Ōei,28
1422,Ōei,29
1423,Ōei,30
1424,Ōei,31
1425,Ōei,32
1426,Ōei,33
1427,Ōei,34
1428,Ōei,35
1428,Shōchō,1
1429,Shōchō,2
1429,Eikyō,1
1430,Eikyō,2
1431,Eikyō,3
1432,Eikyō,4
1433,Eikyō,5
1434,Eikyō,6
1435,Eikyō,7
1436,Eikyō,8
1437,Eikyō,9
1438,Eikyō,10
1439,Eikyō,11
1440,Eikyō,12
1441,Eikyō,13
1441,Kakitsu,1
1442,Kakitsu,2
1443,Kakitsu,3
1444,Kakitsu,4
1444,Bun'an,1
1445,Bun'an,2
1446,Bun'an,3
1447,Bun'an,4
1448,Bun'an,5
1449,Bun'an,6
1449,Hōtoku,1
1450,Hōtoku,2
1451,Hōtoku,3
1452,Hōtoku,4
1452,Kyōtoku,1
1453,Kyōtoku,2
1454,Kyōtoku,3
1455,Kyōtoku,4
1455,Kōshō,1
1456,Kōshō,2
1457,Kōshō,3
1457,Chōroku,1
1458,Chōroku,2
1459,Chōroku,3
1460,Chōroku,4
1460,Kanshō,1
1461,Kanshō,2
1462,Kanshō,3
1463,Kanshō,4
1464,Kanshō,5
1465,Kanshō,6
1466,Kanshō,7
1466,Bunshō,1
1467,Bunshō,2
1467,Ōnin,1
1468,Ōnin,2
1469,Ōnin,3
1469,Bunmei,1
1470,Bunmei,2
1471,Bunmei,3
1472,Bunmei,4
1473,Bunmei,5
1474,Bunmei,6
1475,Bunmei,7
1476,Bunmei,8
1477,Bunmei,9
1478,Bunmei,10
1479,Bunmei,11
1480,Bunmei,12
1481,Bunmei,13
1482,Bunmei,14
1483,Bunmei,15
1484,Bunmei,16
1485,Bunmei,17
1486,Bunmei,18
1487,Bunmei,19
1487,Chōkyō,1
1488,Chōkyō,2
1489,Chōkyō,3
1489,Entoku,1
1490,Entoku,2
1491,Entoku,3
1492,Entoku,4
1492,Meiō,1
1493,Meiō,2
1494,Meiō,3
1495,Meiō,4
1496,Meiō,5
1497,Meiō,6
1498,Meiō,7
1499,Meiō,8
1500,Meiō,9
1501,Meiō,10
1501,Bunki,1
1502,Bunki,2
1503,Bunki,3
1504,Bunki,4
1504,Eishō,1
1505,Eishō,2
1506,Eishō,3
1507,Eishō,4
1508,Eishō,5
1509,Eishō,6
1510,Eishō,7
1511,Eishō,8
1512,Eishō,9
1513,Eishō,10
1514,Eishō,11
1515,Eishō,12
1516,Eishō,13
1517,Eishō,14
1518,Eishō,15
1519,Eishō,16
1520,Eishō,17
1521,Eishō,18
1521,Daiei,1
1522,Daiei,2
1523,Daiei,3
1524,Daiei,4
1525,Daiei,5
1526,Daiei,6
1527,Daiei,7
1528,Daiei,8
1528,Kyōroku,1
1529,Kyōroku,2
1530,Kyōroku,3
1531,Kyōroku,4
1532,Kyōroku,5
1532,Tenbun,1
1533,Tenbun,2
1534,Tenbun,3
1535,Tenbun,4
1536,Tenbun,5
1537,Tenbun,6
1538,Tenbun,7
1539,Tenbun,8
1540,Tenbun,9
1541,Tenbun,10
1542,Tenbun,11
1543,Tenbun,12
1544,Tenbun,13
1545,Tenbun,14
1546,Tenbun,15
1547,Tenbun,16
1548,Tenbun,17
1549,Tenbun,18
1550,Tenbun,19
1551,Tenbun,20
1552,Tenbun,21
1553,Tenbun,22
1554,Tenbun,23
1555,Tenbun,24
1555,Kōji,1
1556,Kōji,2
1557,Kōji,3
1558,Kōji,4
1558,Eiroku,1
1559,Eiroku,2
1560,Eiroku,3
1561,Eiroku,4
1562,Eiroku,5
1563,Eiroku,6
1564,Eiroku,7
1565,Eiroku,8
1566,Eiroku,9
1567,Eiroku,10
1568,Eiroku,11
1569,Eiroku,12
1570,Eiroku,13
1570,Genki,1
1571,Genki,2
1572,Genki,3
1573,Genki,4
1573,Tenshō,1
1574,Tenshō,2
1575,Tenshō,3
1576,Tenshō,4
1577,Tenshō,5
1578,Tenshō,6
1579,Tenshō,7
1580,Tenshō,8
1581,Tenshō,9
1582,Tenshō,10
1583,Tenshō,11
1584,Tenshō,12
1585,Tenshō,13
1586,Tenshō,14
1587,Tenshō,15
1588,Tenshō,16
1589,Tenshō,17
1590,Tenshō,18
1591,Tenshō,19
1592,Tenshō,20
1592,Bunroku,1
1593,Bunroku,2
1594,Bunroku,3
1595,Bunroku,4
1596,Bunroku,5
1596,Keichō,1
1597,Keichō,2
1598,Keichō,3
1599,Keichō,4
1600,Keichō,5
1601,Keichō,6
1602,Keichō,7
1603,Keichō,8
1604,Keichō,9
1605,Keichō,10
1606,Keichō,11
1607,Keichō,12
1608,Keichō,13
1609,Keichō,14
1610,Keichō,15
1611,Keichō,16
1612,Keichō,17
1613,Keichō,18
1614,Keichō,19
1615,Keichō,20
1615,Genna,1
1616,Genna,2
1617,Genna,3
1618,Genna,4
1619,Genna,5
1620,Genna,6
1621,Genna,7
1622,Genna,8
1623,Genna,9
1624,Genna,10
1624,Kan'ei,1
1625,Kan'ei,2
1626,Kan'ei,3
1627,Kan'ei,4
1628,Kan'ei,5
1629,Kan'ei,6
1630,Kan'ei,7
1631,Kan'ei,8
1632,Kan'ei,9
1633,Kan'ei,10
1634,Kan'ei,11
1635,Kan'ei,12
1636,Kan'ei,13
1637,Kan'ei,14
1638,Kan'ei,15
1639,Kan'ei,16
1640,Kan'ei,17
1641,Kan'ei,18
1642,Kan'ei,19
1643,Kan'ei,20
1644,Kan'ei,21
1644,Shōhō,1
1645,Shōhō,2
1646,Shōhō,3
1647,Shōhō,4
1648,Shōhō,5
1648,Keian,1
1649,Keian,2
1650,Keian,3
1651,Keian,4
1652,Keian,5
1652,Jōō,1
1653,Jōō,2
1654,Jōō,3
1655,Jōō,4
1655,Meireki,1
1656,Meireki,2
1657,Meireki,3
1658,Meireki,4
1658,Manji,1
1659,Manji,2
1660,Manji,3
1661,Manji,4
1661,Kanbun,1
1662,Kanbun,2
1663,Kanbun,3
1664,Kanbun,4
1665,Kanbun,5
1666,Kanbun,6
1667,Kanbun,7
1668,Kanbun,8
1669,Kanbun,9
1670,Kanbun,10
1671,Kanbun,11
1672,Kanbun,12
1673,Kanbun,13
1673,Enpō,1
1674,Enpō,2
1675,Enpō,3
1676,Enpō,4
1677,Enpō,5
1678,Enpō,6
1679,Enpō,7
1680,Enpō,8
1681,Enpō,9
1681,Tenna,1
1682,Tenna,2
1683,Tenna,3
1684,Tenna,4
1684,Jōkyō,1
1685,Jōkyō,2
1686,Jōkyō,3
1687,Jōkyō,4
1688,Jōkyō,5
1688,Genroku,1
1689,Genroku,2
1690,Genroku,3
1691,Genroku,4
1692,Genroku,5
1693,Genroku,6
1694,Genroku,7
1695,Genroku,8
1696,Genroku,9
1697,Genroku,10
1698,Genroku,11
1699,Genroku,12
1700,Genroku,13
1701,Genroku,14
1702,Genroku,15
1703,Genroku,16
1704,Genroku,17
1704,Hōei,1
1705,Hōei,2
1706,Hōei,3
1707,Hōei,4
1708,Hōei,5
1709,Hōei,6
1710,Hōei,7
1711,Hōei,8
1711,Shōtoku,1
1712,Shōtoku,2
1713,Shōtoku,3
1714,Shōtoku,4
1715,Shōtoku,5
1716,Shōtoku,6
1716,Kyōhō,1
1717,Kyōhō,2
1718,Kyōhō,3
1719,Kyōhō,4
1720,Kyōhō,5
1721,Kyōhō,6
1722,Kyōhō,7
1723,Kyōhō,8
1724,Kyōhō,9
1725,Kyōhō,10
1726,Kyōhō,11
1727,Kyōhō,12
1728,Kyōhō,13
1729,Kyōhō,14
1730,Kyōhō,15
1731,Kyōhō,16
1732,Kyōhō,17
1733,Kyōhō,18
1734,Kyōhō,19
1735,Kyōhō,20
1736,Kyōhō,21
1736,Genbun,1
1737,Genbun,2
1738,Genbun,3
1739,Genbun,4
1740,Genbun,5
1741,Genbun,6
1741,Kanpō,1
1742,Kanpō,2
1743,Kanpō,3
1744,Kanpō,4
1744,Enkyō,1
1745,Enkyō,2
1746,Enkyō,3
1747,Enkyō,4
1748,Enkyō,5
1748,Kan'en,1
1749,Kan'en,2
1750,Kan'en,3
1751,Kan'en,4
1751,Hōreki,1
1752,Hōreki,2
1753,Hōreki,3
1754,Hōreki,4
1755,Hōreki,5
1756,Hōreki,6
1757,Hōreki,7
1758,Hōreki,8
1759,Hōreki,9
1760,Hōreki,10
1761,Hōreki,11
1762,Hōreki,12
1763,Hōreki,13
1764,Hōreki,14
1764,Meiwa,1
1765,Meiwa,2
1766,Meiwa,3
1767,Meiwa,4
1768,Meiwa,5
1769,Meiwa,6
1770,Meiwa,7
1771,Meiwa,8
1772,Meiwa,9
1772,An'ei,1
1773,An'ei,2
1774,An'ei,3
1775,An'ei,4
1776,An'ei,5
1777,An'ei,6
1778,An'ei,7
1779,An'ei,8
1780,An'ei,9
1781,An'ei,10
1781,Tenmei,1
1782,Tenmei,2
1783,Tenmei,3
1784,Tenmei,4
1785,Tenmei,5
1786,Tenmei,6
1787,Tenmei,7
1788,Tenmei,8
1789,Tenmei,9
1789,Kansei,1
1790,Kansei,2
1791,Kansei,3
1792,Kansei,4
1793,Kansei,5
1794,Kansei,6
1795,Kansei,7
1796,Kansei,8
1797,Kansei,9
1798,Kansei,10
1799,Kansei,11
1800,Kansei,12
1801,Kansei,13
1801,Kyōwa,1
