year,era,count
645,Taika,1
646,Taika,2
647,Taika,3
648,Taika,4
649,Taika,5
650,Taika,6
650,Hakuchi,1
651,Hakuchi,2
652,Hakuchi,3
653,Hakuchi,4
654,Hakuchi,5
686,Shuchō,1
701,Taihō,1
702,Taihō,2
703,Taihō,3
704,Taihō,4
704,Keiun,1
705,Keiun,2
706,Keiun,3
707,Keiun,4
708,Keiun,5
708,Wadō,1
709,Wadō,2
710,Wadō,3
711,Wadō,4
712,Wadō,5
713,Wadō,6
714,Wadō,7
715,Wadō,8
715,Reiki,1
716,Reiki,2
717,Reiki,3
717,Yōrō,1
718,Yōrō,2
719,Yōrō,3
720,Yōrō,4
721,Yōrō,5
722,Yōrō,6
723,Yōrō,7
724,Yōrō,8
724,Jinki,1
725,Jinki,2
726,Jinki,3
727,Jinki,4
728,Jinki,5
729,Jinki,6
729,Tenpyō,1
730,Tenpyō,2
731,Tenpyō,3
732,Tenpyō,4
733,Tenpyō,5
734,Tenpyō,6
735,Tenpyō,7
736,Tenpyō,8
737,Tenpyō,9
738,Tenpyō,10
739,Tenpyō,11
740,Tenpyō,12
741,Tenpyō,13
742,Tenpyō,14
743,Tenpyō,15
744,Tenpyō,16
745,Tenpyō,17
746,Tenpyō,18
747,Tenpyō,19
748,Tenpyō,20
749,Tenpyō,21
749,Tenpyō-kanpō,1
749,Tenpyō-shōhō,1
750,Tenpyō-shōhō,2
751,Tenpyō-shōhō,3
752,Tenpyō-shōhō,4
753,Tenpyō-shōhō,5
754,Tenpyō-shōhō,6
755,Tenpyō-shōhō,7
756,Tenpyō-shōhō,8
757,Tenpyō-shōhō,9
757,Tenpyō-hōji,1
758,Tenpyō-hōji,2
759,Tenpyō-hōji,3
760,Tenpyō-hōji,4
761,Tenpyō-hōji,5
762,Tenpyō-hōji,6
763,Tenpyō-hōji,7
764,Tenpyō-hōji,8
765,Tenpyō-hōji,9
765,Tenpyō-jingo,1
766,Tenpyō-jingo,2
767,Tenpyō-jingo,3
767,Jingo-keiun,1
768,Jingo-keiun,2
769,Jingo-keiun,3
770,Jingo-keiun,4
770,Hōki,1
771,Hōki,2
772,Hōki,3
773,Hōki,4
774,Hōki,5
775,Hōki,6
776,Hōki,7
777,Hōki,8
778,Hōki,9
779,Hōki,10
780,Hōki,11
781,Hōki,12
781,Ten'ō,1
782,Ten'ō,2
782,Enryaku,1
783,Enryaku,2
784,Enryaku,3
785,Enryaku,4
786,Enryaku,5
787,Enryaku,6
788,Enryaku,7
789,Enryaku,8
790,Enryaku,9
791,Enryaku,10
792,Enryaku,11
793,Enryaku,12
794,Enryaku,13
795,Enryaku,14
796,Enryaku,15
797,Enryaku,16
798,Enryaku,17
799,Enryaku,18
800,Enryaku,19
801,Enryaku,20
802,Enryaku,21
803,Enryaku,22
804,Enryaku,23
805,Enryaku,24
806,Enryaku,25
806,Daidō,1
807,Daidō,2
808,Daidō,3
809,Daidō,4
810,Daidō,5
810,Kōnin,1
811,Kōnin,2
812,Kōnin,3
813,Kōnin,4
814,Kōnin,5
815,Kōnin,6
816,Kōnin,7
817,Kōnin,8
818,Kōnin,9
819,Kōnin,10
820,Kōnin,11
821,Kōnin,12
822,Kōnin,13
823,Kōnin,14
824,Kōnin,15
824,Tenchō,1
825,Tenchō,2
826,Tenchō,3
827,Tenchō,4
828,Tenchō,5
829,Tenchō,6
830,Tenchō,7
831,Tenchō,8
832,Tenchō,9
833,Tenchō,10
834,Tenchō,11
834,Jōwa,1
835,Jōwa,2
836,Jōwa,3
837,Jōwa,4
838,Jōwa,5
839,Jōwa,6
840,Jōwa,7
841,Jōwa,8
842,Jōwa,9
843,Jōwa,10
844,Jōwa,11
845,Jōwa,12
846,Jōwa,13
847,Jōwa,14
848,Jōwa,15
848,Kashō,1
849,Kashō,2
850,Kashō,3
851,Kashō,4
851,Ninju,1
852,Ninju,2
853,Ninju,3
854,Ninju,4
854,Saikō,1
855,Saikō,2
856,Saikō,3
857,Saikō,4
857,Ten'an,1
858,Ten'an,2
859,Ten'an,3
859,Jōgan,1
860,Jōgan,2
861,Jōgan,3
862,Jōgan,4
863,Jōgan,5
864,Jōgan,6
865,Jōgan,7
866,Jōgan,8
867,Jōgan,9
868,Jōgan,10
869,Jōgan,11
870,Jōgan,12
871,Jōgan,13
872,Jōgan,14
873,Jōgan,15
874,Jōgan,16
875,Jōgan,17
876,Jōgan,18
877,Jōgan,19
877,Gangyō,1
878,Gangyō,2
879,Gangyō,3
880,Gangyō,4
881,Gangyō,5
882,Gangyō,6
883,Gangyō,7
884,Gangyō,8
885,Gangyō,9
885,Ninna,1
886,Ninna,2
887,Ninna,3
888,Ninna,4
889,Ninna,5
889,Kanpyō,1
890,Kanpyō,2
891,Kanpyō,3
892,Kanpyō,4
893,Kanpyō,5
894,Kanpyō,6
895,Kanpyō,7
