year,stage,group,type,match_date,home,home_id,home_score,home_pens,away,away_id,away_score,away_pens,extra_time,stadium,city,host,result
1956,Group,,Round 1,1956-09-01,Hong Kong,HKG,2,,Israel,ISR,3,,,,So Kon Po,Hong Kong,away
1956,Group,,Round 1,1956-09-06,Hong Kong,HKG,2,,South Korea,KOR,2,,,,So Kon Po,Hong Kong,draw
1956,Group,,Round 1,1956-09-08,Israel,ISR,1,,South Korea,KOR,2,,,,So Kon Po,Hong Kong,away
1956,Group,,Round 1,1956-09-09,Hong Kong,HKG,2,,Vietnam Republic,VSO,2,,,,So Kon Po,Hong Kong,draw
1956,Group,,Round 1,1956-09-12,Israel,ISR,2,,Vietnam Republic,VSO,1,,,,So Kon Po,Hong Kong,home
1956,Group,,Round 1,1956-09-15,South Korea,KOR,5,,Vietnam Republic,VSO,3,,,,So Kon Po,Hong Kong,home
1960,Group,,Round 1,1960-10-14,South Korea,KOR,5,,Vietnam Republic,VSO,1,,,,Seoul,South Korea,home
1960,Group,,Round 1,1960-10-16,Taiwan,TPE,2,,Vietnam Republic,VSO,0,,,,Seoul,South Korea,home
1960,Group,,Round 1,1960-10-17,South Korea,KOR,3,,Israel,ISR,0,,,,Seoul,South Korea,home
1960,Group,,Round 1,1960-10-19,Israel,ISR,5,,Vietnam Republic,VSO,1,,,,Seoul,South Korea,home
1960,Group,,Round 1,1960-10-21,South Korea,KOR,1,,Taiwan,TPE,0,,,,Seoul,South Korea,home
1960,Group,,Round 1,1960-10-23,Israel,ISR,1,,Taiwan,TPE,0,,,,Seoul,South Korea,home
1964,Group,,Round 1,1964-05-26,Israel,ISR,1,,Hong Kong,HKG,0,,,,Ramat Gan,Israel,home
1964,Group,,Round 1,1964-05-27,India,IND,2,,South Korea,KOR,0,,,,Haifa,Israel,home
1964,Group,,Round 1,1964-05-29,Israel,ISR,2,,India,IND,0,,,,Jaffa,Israel,home
1964,Group,,Round 1,1964-05-30,Hong Kong,HKG,0,,South Korea,KOR,1,,,,Jerusalem,Israel,away
1964,Group,,Round 1,1964-06-02,Hong Kong,HKG,1,,India,IND,3,,,,Jaffa,Israel,away
1964,Group,,Round 1,1964-06-03,Israel,ISR,2,,South Korea,KOR,1,,,,Ramat Gan,Israel,home
1968,Group,,Round 1,1968-05-10,Iran,IRN,2,,Hong Kong,HKG,0,,,,Tehran,Iran,home
1968,Group,,Round 1,1968-05-11,Burma,BUR,1,,Taiwan,TPE,1,,,,Tehran,Iran,draw
1968,Group,,Round 1,1968-05-12,Hong Kong,HKG,1,,Israel,ISR,6,,,,Tehran,Iran,away
1968,Group,,Round 1,1968-05-13,Iran,IRN,4,,Taiwan,TPE,0,,,,Tehran,Iran,home
1968,Group,,Round 1,1968-05-14,Burma,BUR,1,,Israel,ISR,0,,,,Tehran,Iran,home
1968,Group,,Round 1,1968-05-15,Hong Kong,HKG,1,,Taiwan,TPE,1,,,,Tehran,Iran,draw
1968,Group,,Round 1,1968-05-16,Iran,IRN,3,,Burma,BUR,1,,,,Tehran,Iran,home
1968,Group,,Round 1,1968-05-17,Israel,ISR,4,,Taiwan,TPE,1,,,,Tehran,Iran,home
1968,Group,,Round 1,1968-05-18,Burma,BUR,2,,Hong Kong,HKG,0,,,,Tehran,Iran,home
1968,Group,,Round 1,1968-05-19,Iran,IRN,2,,Israel,ISR,1,,,,Tehran,Iran,home
1972,Group,A,Round 1,1972-05-09,Iran,IRN,3,,Iraq,IRQ,0,,,,Bangkok,Thailand,home
1972,Group,A,Round 1,1972-05-11,Thailand,THA,1,,Iraq,IRQ,1,,,,Bangkok,Thailand,draw
1972,Group,A,Round 1,1972-05-13,Thailand,THA,2,,Iran,IRN,3,,,,Bangkok,Thailand,away
1972,Group,B,Round 1,1972-05-10,Cambodia,CAM,1,,South Korea,KOR,4,,,,Bangkok,Thailand,away
1972,Group,B,Round 1,1972-05-12,South Korea,KOR,1,,Kuwait,KUW,2,,,,Bangkok,Thailand,away
1972,Group,B,Round 1,1972-05-14,Cambodia,CAM,4,,Kuwait,KUW,0,,,,Bangkok,Thailand,home
1972,Group,ALLOCATION MATCH,Round 1,1972-05-07,Iran,IRN,2,,Cambodia,CAM,0,,,,Bangkok,Thailand,home
1972,Group,ALLOCATION MATCH,Round 1,1972-05-07,South Korea,KOR,0,0,Iraq,IRQ,0,1,1,,Bangkok,Thailand,draw
1972,Group,ALLOCATION MATCH,Round 1,1972-05-08,Thailand,THA,0,,Kuwait,KUW,2,,,,Bangkok,Thailand,away
1972,Knock Out,,Semi Final,1972-05-16,Iran,IRN,2,,Cambodia,CAM,1,,,,Bangkok,Thailand,home
1972,Knock Out,,Semi Final,1972-05-17,Thailand,THA,1,0,South Korea,KOR,1,1,1,,Bangkok,Thailand,draw
1972,Knock Out,,Final,1972-05-19,Iran,IRN,2,,South Korea,KOR,1,,,,Bangkok,Thailand,home
1972,Knock Out,,Third Place,1972-05-19,Thailand,THA,2,1,Cambodia,CAM,2,0,1,,Bangkok,Thailand,draw
1976,Group,A,Round 1,1976-06-03,Kuwait,KUW,2,,Malaysia,MAS,0,,,,Tehran,Iran,home
1976,Group,A,Round 1,1976-06-05,China PR,CHP,1,,Malaysia,MAS,1,,,,Tehran,Iran,draw
1976,Group,A,Round 1,1976-06-07,China PR,CHP,0,,Kuwait,KUW,1,,,,Tehran,Iran,away
1976,Group,B,Round 1,1976-06-04,Iran,IRN,2,,Iraq,IRQ,0,,,,Tehran,Iran,home
1976,Group,B,Round 1,1976-06-06,Iraq,IRQ,1,,Yemen DPR,YED,0,,,,Tehran,Iran,home
1976,Group,B,Round 1,1976-06-08,Iran,IRN,8,,Yemen DPR,YED,0,,,,Tehran,Iran,home
1976,Knock Out,,Semi Final,1976-06-11,Iran,IRN,2,,China PR,CHP,0,,,,Tehran,Iran,home
1976,Knock Out,,Semi Final,1976-06-11,Iraq,IRQ,2,,Kuwait,KUW,3,,,,Tehran,Iran,away
1976,Knock Out,,Third Place,1976-06-13,China PR,CHP,1,,Iraq,IRQ,0,,,,Tehran,Iran,home
1976,Knock Out,,Final,1976-06-13,Iran,IRN,1,,Kuwait,KUW,0,,,,Tehran,Iran,home
1980,Group,A,Round 1,1980-09-16,North Korea,PRK,3,,Bangladesh,BAN,2,,,,Kuwait City,Kuwait,home
1980,Group,A,Round 1,1980-09-17,Iran,IRN,0,,Syria,SYR,0,,,,Kuwait City,Kuwait,draw
1980,Group,A,Round 1,1980-09-18,North Korea,PRK,2,,China PR,CHP,1,,,,Kuwait City,Kuwait,home
1980,Group,A,Round 1,1980-09-19,Bangladesh,BAN,0,,Syria,SYR,1,,,,Kuwait City,Kuwait,away
1980,Group,A,Round 1,1980-09-20,China PR,CHP,2,,Iran,IRN,2,,,,Kuwait City,Kuwait,draw
1980,Group,A,Round 1,1980-09-22,Bangladesh,BAN,0,,Iran,IRN,7,,,,Kuwait City,Kuwait,away
1980,Group,A,Round 1,1980-09-23,Syria,SYR,1,,China PR,CHP,0,,,,Kuwait City,Kuwait,home
1980,Group,A,Round 1,1980-09-24,Iran,IRN,3,,North Korea,PRK,2,,,,Kuwait City,Kuwait,home
1980,Group,A,Round 1,1980-09-25,China PR,CHP,6,,Bangladesh,BAN,0,,,,Kuwait City,Kuwait,home
1980,Group,A,Round 1,1980-09-26,Syria,SYR,1,,North Korea,PRK,2,,,,Kuwait City,Kuwait,away
1980,Group,B,Round 1,1980-09-15,Kuwait,KUW,1,,United Arab Emirates,UAE,1,,,,Kuwait City,Kuwait,draw
1980,Group,B,Round 1,1980-09-16,Malaysia,MAS,1,,South Korea,KOR,1,,,,Kuwait City,Kuwait,draw
1980,Group,B,Round 1,1980-09-17,Qatar,QAT,2,,United Arab Emirates,UAE,1,,,,Kuwait City,Kuwait,home
1980,Group,B,Round 1,1980-09-18,Kuwait,KUW,3,,Malaysia,MAS,1,,,,Kuwait City,Kuwait,home
1980,Group,B,Round 1,1980-09-19,Qatar,QAT,0,,South Korea,KOR,2,,,,Kuwait City,Kuwait,away
1980,Group,B,Round 1,1980-09-20,United Arab Emirates,UAE,0,,Malaysia,MAS,2,,,,Kuwait City,Kuwait,away
1980,Group,B,Round 1,1980-09-21,Kuwait,KUW,0,,South Korea,KOR,3,,,,Kuwait City,Kuwait,away
1980,Group,B,Round 1,1980-09-23,Malaysia,MAS,1,,Qatar,QAT,1,,,,Kuwait City,Kuwait,draw
1980,Group,B,Round 1,1980-09-24,South Korea,KOR,4,,United Arab Emirates,UAE,1,,,,Kuwait City,Kuwait,home
1980,Group,B,Round 1,1980-09-25,Kuwait,KUW,4,,Qatar,QAT,0,,,,Kuwait City,Kuwait,home
1980,Knock Out,,Semi Final,1980-09-28,South Korea,KOR,2,,North Korea,PRK,1,,,,Kuwait City,Kuwait,home
1980,Knock Out,,Semi Final,1980-09-28,Kuwait,KUW,2,,Iran,IRN,1,,,,Kuwait City,Kuwait,home
1980,Knock Out,,Third Place,1980-09-29,Iran,IRN,3,,North Korea,PRK,0,,,,Kuwait City,Kuwait,home
1980,Knock Out,,Final,1980-09-30,Kuwait,KUW,3,,South Korea,KOR,0,,,,Kuwait City,Kuwait,home
1984,Group,A,Round 1,1984-12-01,Qatar,QAT,1,,Syria,SYR,1,,,,Kallang,Singapore,draw
1984,Group,A,Round 1,1984-12-02,Saudi Arabia,KSA,1,,South Korea,KOR,1,,,,Kallang,Singapore,draw
1984,Group,A,Round 1,1984-12-03,Kuwait,KUW,1,,Qatar,QAT,0,,,,Kallang,Singapore,home
1984,Group,A,Round 1,1984-12-04,Syria,SYR,0,,Saudi Arabia,KSA,1,,,,Kallang,Singapore,away
1984,Group,A,Round 1,1984-12-05,South Korea,KOR,0,,Kuwait,KUW,0,,,,Kallang,Singapore,draw
1984,Group,A,Round 1,1984-12-07,Syria,SYR,1,,South Korea,KOR,0,,,,Kallang,Singapore,home
1984,Group,A,Round 1,1984-12-08,Qatar,QAT,1,,Saudi Arabia,KSA,1,,,,Kallang,Singapore,draw
1984,Group,A,Round 1,1984-12-09,Kuwait,KUW,3,,Syria,SYR,1,,,,Kallang,Singapore,home
1984,Group,A,Round 1,1984-12-10,South Korea,KOR,0,,Qatar,QAT,1,,,,Kallang,Singapore,away
1984,Group,A,Round 1,1984-12-11,Saudi Arabia,KSA,1,,Kuwait,KUW,0,,,,Kallang,Singapore,home
1984,Group,B,Round 1,1984-12-01,Iran,IRN,3,,United Arab Emirates,UAE,0,,,,Kallang,Singapore,home
1984,Group,B,Round 1,1984-12-02,Singapore,SIN,2,,India,IND,0,,,,Kallang,Singapore,home
1984,Group,B,Round 1,1984-12-03,China PR,CHP,0,,Iran,IRN,2,,,,Kallang,Singapore,away
1984,Group,B,Round 1,1984-12-04,United Arab Emirates,UAE,2,,India,IND,0,,,,Kallang,Singapore,home
1984,Group,B,Round 1,1984-12-05,Singapore,SIN,0,,China PR,CHP,2,,,,Kallang,Singapore,away
1984,Group,B,Round 1,1984-12-07,Iran,IRN,0,,India,IND,0,,,,Kallang,Singapore,draw
1984,Group,B,Round 1,1984-12-08,Singapore,SIN,0,,United Arab Emirates,UAE,1,,,,Kallang,Singapore,away
1984,Group,B,Round 1,1984-12-09,India,IND,0,,China PR,CHP,3,,,,Kallang,Singapore,away
1984,Group,B,Round 1,1984-12-10,Singapore,SIN,1,,Iran,IRN,1,,,,Kallang,Singapore,draw
1984,Group,B,Round 1,1984-12-11,China PR,CHP,5,,United Arab Emirates,UAE,0,,,,Kallang,Singapore,home
1984,Knock Out,,Semi Final,1984-12-13,Saudi Arabia,KSA,1,1,Iran,IRN,1,0,1,,Kallang,Singapore,draw
1984,Knock Out,,Semi Final,1984-12-14,Kuwait,KUW,0,,China PR,CHP,1,,,,Kallang,Singapore,away
1984,Knock Out,,Third Place,1984-12-16,Iran,IRN,1,0,Kuwait,KUW,1,1,1,,Kallang,Singapore,draw
1984,Knock Out,,Final,1984-12-16,Saudi Arabia,KSA,2,,China PR,CHP,0,,,,Kallang,Singapore,home
1988,Group,A,Round 1,1988-12-02,Qatar,QAT,0,,Iran,IRN,2,,,,Doha,Qatar,away
1988,Group,A,Round 1,1988-12-03,United Arab Emirates,UAE,0,,South Korea,KOR,1,,,,Doha,Qatar,away
1988,Group,A,Round 1,1988-12-04,Japan,JPN,0,,Iran,IRN,0,,,,Doha,Qatar,draw
1988,Group,A,Round 1,1988-12-05,Qatar,QAT,2,,United Arab Emirates,UAE,1,,,,Doha,Qatar,home
1988,Group,A,Round 1,1988-12-06,South Korea,KOR,2,,Japan,JPN,0,,,,Doha,Qatar,home
1988,Group,A,Round 1,1988-12-08,Iran,IRN,1,,United Arab Emirates,UAE,0,,,,Doha,Qatar,home
1988,Group,A,Round 1,1988-12-09,Qatar,QAT,2,,South Korea,KOR,3,,,,Doha,Qatar,away
1988,Group,A,Round 1,1988-12-10,United Arab Emirates,UAE,1,,Japan,JPN,0,,,,Doha,Qatar,home
1988,Group,A,Round 1,1988-12-11,South Korea,KOR,3,,Iran,IRN,0,,,,Doha,Qatar,home
1988,Group,A,Round 1,1988-12-12,Qatar,QAT,3,,Japan,JPN,0,,,,Doha,Qatar,home
1988,Group,B,Round 1,1988-12-02,Syria,SYR,0,,Saudi Arabia,KSA,2,,,,Doha,Qatar,away
1988,Group,B,Round 1,1988-12-03,Kuwait,KUW,0,,Bahrain,BAH,0,,,,Doha,Qatar,draw
1988,Group,B,Round 1,1988-12-04,China PR,CHP,3,,Syria,SYR,0,,,,Doha,Qatar,home
1988,Group,B,Round 1,1988-12-05,Saudi Arabia,KSA,0,,Kuwait,KUW,0,,,,Doha,Qatar,draw
1988,Group,B,Round 1,1988-12-06,Bahrain,BAH,0,,China PR,CHP,1,,,,Doha,Qatar,away
1988,Group,B,Round 1,1988-12-08,Syria,SYR,1,,Kuwait,KUW,0,,,,Doha,Qatar,home
1988,Group,B,Round 1,1988-12-09,Saudi Arabia,KSA,1,,Bahrain,BAH,1,,,,Doha,Qatar,draw
1988,Group,B,Round 1,1988-12-10,Kuwait,KUW,2,,China PR,CHP,2,,,,Doha,Qatar,draw
1988,Group,B,Round 1,1988-12-11,Bahrain,BAH,0,,Syria,SYR,1,,,,Doha,Qatar,away
1988,Group,B,Round 1,1988-12-12,China PR,CHP,0,,Saudi Arabia,KSA,1,,,,Doha,Qatar,away
1988,Knock Out,,Semi Final,1988-12-14,South Korea,KOR,2,,China PR,CHP,1,,,,Doha,Qatar,home
1988,Knock Out,,Semi Final,1988-12-15,Saudi Arabia,KSA,1,,Iran,IRN,0,,,,Doha,Qatar,home
1988,Knock Out,,Third Place,1988-12-17,China PR,CHP,0,0,Iran,IRN,0,1,1,,Doha,Qatar,draw
1988,Knock Out,,Final,1988-12-18,South Korea,KOR,0,0,Saudi Arabia,KSA,0,1,1,,Doha,Qatar,draw
1992,Group,A,Round 1,1992-10-30,Japan,JPN,0,,United Arab Emirates,UAE,0,,,,Onomichi,Japan,draw
1992,Group,A,Round 1,1992-10-30,North Korea,PRK,0,,Iran,IRN,2,,,,Onomichi,Japan,away
1992,Group,A,Round 1,1992-11-01,United Arab Emirates,UAE,0,,Iran,IRN,0,,,,Hiroshima,Japan,draw
1992,Group,A,Round 1,1992-11-01,Japan,JPN,1,,North Korea,PRK,1,,,,Hiroshima,Japan,draw
1992,Group,A,Round 1,1992-11-03,Japan,JPN,1,,Iran,IRN,0,,,,Hiroshima,Japan,home
1992,Group,A,Round 1,1992-11-03,United Arab Emirates,UAE,2,,North Korea,PRK,1,,,,Hiroshima,Japan,home
1992,Group,B,Round 1,1992-10-29,Qatar,QAT,1,,Thailand,THA,1,,,,Hiroshima,Japan,draw
1992,Group,B,Round 1,1992-10-29,Saudi Arabia,KSA,1,,China PR,CHP,1,,,,Hiroshima,Japan,draw
1992,Group,B,Round 1,1992-10-31,China PR,CHP,0,,Thailand,THA,0,,,,Hiroshima,Japan,draw
1992,Group,B,Round 1,1992-10-31,Saudi Arabia,KSA,1,,Qatar,QAT,1,,,,Hiroshima,Japan,draw
1992,Group,B,Round 1,1992-11-02,Saudi Arabia,KSA,4,,Thailand,THA,0,,,,Onomichi,Japan,home
1992,Group,B,Round 1,1992-11-02,China PR,CHP,2,,Qatar,QAT,1,,,,Onomichi,Japan,home
1992,Knock Out,,Semi Final,1992-11-06,Japan,JPN,3,,China PR,CHP,2,,,,Hiroshima,Japan,home
1992,Knock Out,,Semi Final,1992-11-06,Saudi Arabia,KSA,2,,United Arab Emirates,UAE,0,,,,Hiroshima,Japan,home
1992,Knock Out,,Third Place,1992-11-08,China PR,CHP,1,1,United Arab Emirates,UAE,1,0,1,,Hiroshima,Japan,draw
1992,Knock Out,,Final,1992-11-08,Japan,JPN,1,,Saudi Arabia,KSA,0,,,,Hiroshima,Japan,home
1996,Group,A,Round 1,1996-12-04,United Arab Emirates,UAE,1,,South Korea,KOR,1,,,,Abu Dhabi,United Arab Emirates,draw
1996,Group,A,Round 1,1996-12-04,Indonesia,IDN,2,,Kuwait,KUW,2,,,,Abu Dhabi,United Arab Emirates,draw
1996,Group,A,Round 1,1996-12-07,United Arab Emirates,UAE,3,,Kuwait,KUW,2,,,,Abu Dhabi,United Arab Emirates,home
1996,Group,A,Round 1,1996-12-07,South Korea,KOR,4,,Indonesia,IDN,2,,,,Abu Dhabi,United Arab Emirates,home
1996,Group,A,Round 1,1996-12-10,Kuwait,KUW,2,,South Korea,KOR,0,,,,Abu Dhabi,United Arab Emirates,home
1996,Group,A,Round 1,1996-12-10,United Arab Emirates,UAE,2,,Indonesia,IDN,0,,,,Abu Dhabi,United Arab Emirates,home
1996,Group,B,Round 1,1996-12-05,Iran,IRN,1,,Iraq,IRQ,2,,,,Dubai,United Arab Emirates,away
1996,Group,B,Round 1,1996-12-05,Saudi Arabia,KSA,6,,Thailand,THA,0,,,,Dubai,United Arab Emirates,home
1996,Group,B,Round 1,1996-12-08,Thailand,THA,1,,Iran,IRN,3,,,,Dubai,United Arab Emirates,away
1996,Group,B,Round 1,1996-12-08,Saudi Arabia,KSA,1,,Iraq,IRQ,0,,,,Dubai,United Arab Emirates,home
1996,Group,B,Round 1,1996-12-11,Iraq,IRQ,4,,Thailand,THA,1,,,,Dubai,United Arab Emirates,home
1996,Group,B,Round 1,1996-12-11,Saudi Arabia,KSA,0,,Iran,IRN,3,,,,Dubai,United Arab Emirates,away
1996,Group,C,Round 1,1996-12-06,Japan,JPN,2,,Syria,SYR,1,,,,Al Ain,United Arab Emirates,home
1996,Group,C,Round 1,1996-12-06,China PR,CHP,0,,Uzbekistan,UZB,2,,,,Al Ain,United Arab Emirates,away
1996,Group,C,Round 1,1996-12-09,Syria,SYR,0,,China PR,CHP,3,,,,Al Ain,United Arab Emirates,away
1996,Group,C,Round 1,1996-12-09,Japan,JPN,4,,Uzbekistan,UZB,0,,,,Al Ain,United Arab Emirates,home
1996,Group,C,Round 1,1996-12-12,Japan,JPN,1,,China PR,CHP,0,,,,Al Ain,United Arab Emirates,home
1996,Group,C,Round 1,1996-12-12,Uzbekistan,UZB,1,,Syria,SYR,2,,,,Al Ain,United Arab Emirates,away
1996,Knock Out,,Quarter Final,1996-12-15,Kuwait,KUW,2,,Japan,JPN,0,,,,Al Ain,United Arab Emirates,home
