section,sectionId,label,description,icon,href,actionLabel,actionUrl
Apps (Desktop),apps-desktop,Keynotes,Keynotes - Presentation,PiPresentation,https://hieudoanm.github.io/downloads/keynotes,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-keynotes-latest
Apps (Desktop),apps-desktop,Markdown,Markdown Editor,PiMarkdownLogo,https://hieudoanm.github.io/downloads/markdown,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-markdown-latest
Apps (Desktop),apps-desktop,Messaging,Messaging,PiPaperPlaneTilt,https://hieudoanm.github.io/downloads/messaging,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-messaging-latest
Apps (Desktop),apps-desktop,Password,Password Manager,PiPassword,https://hieudoanm.github.io/downloads/password,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-password-latest
Apps (Desktop),apps-desktop,PDF,PDF Viewer,PiFilePdf,https://hieudoanm.github.io/downloads/pdf,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-pdf-latest
Apps (Desktop),apps-desktop,Photo,Photo Editor,PiImage,https://hieudoanm.github.io/downloads/photo,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-photo-latest
Apps (Desktop),apps-desktop,Resume,Resume Editor,PiFilePdf,https://hieudoanm.github.io/downloads/resume,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-resume-latest
Apps (Desktop),apps-desktop,Projects,Projects Manager,PiFolder,https://hieudoanm.github.io/downloads/projects,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-projects-latest
Apps (Desktop),apps-desktop,SVG,SVG Editor,PiPath,https://hieudoanm.github.io/downloads/svg,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-svg-latest
Apps (Desktop),apps-desktop,Tourney,Tournament Bracket,PiTrophy,https://hieudoanm.github.io/downloads/tourney,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-tourney-latest
Apps (Desktop),apps-desktop,Video,Video Editor,PiVideoCamera,https://hieudoanm.github.io/downloads/video,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-video-latest
Apps (Desktop),apps-desktop,Wallet,Wallet Manager,PiWallet,https://hieudoanm.github.io/downloads/wallet,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-wallet-latest
Apps (Mobile),apps-mobile,Block,Apps Blocker,PiProhibit,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-block-latest,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-block-latest
Apps (Mobile),apps-mobile,NFC,NFC Tools,PiProhibit,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-nfc-latest,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-nfc-latest
