section,sectionId,label,description,icon,href,actionLabel,actionUrl
CLIs,clis,bash,Aliases,PiTerminal,https://github.com/hieudoanm/hieudoanm.github.io/tree/master/packages/cli/bash,Download bash,https://github.com/hieudoanm/hieudoanm.github.io/tree/master/packages/cli/bash/download/bash/dist
CLIs,clis,jack,Just Another Command-Line Kit,PiCodeSimple,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/cli-jack-latest,Download bin,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/cli-jack-latest
Extensions,extensions,@hieudoanm/ext,Hieu Doan,PiProhibit,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-latest,Download EXT,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/extensions-browser-latest
Apps (Desktop),apps-desktop,API,API Client,PiGlobe,https://hieudoanm.github.io/downloads/api,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-api-latest
Apps (Desktop),apps-desktop,Boilerplate,Design Tools,PiFrameCorners,https://hieudoanm.github.io/downloads/boilerplate,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-boilerplate-latest
Apps (Desktop),apps-desktop,Brainbow,Brainbow Microscopy Viewer,PiMicroscope,https://hieudoanm.github.io/downloads/brainbow,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-brainbow-latest
Apps (Desktop),apps-desktop,Chat,AI Chat Interface,PiChat,https://hieudoanm.github.io/downloads/chat,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-chat-latest
Apps (Desktop),apps-desktop,Chess,Chess Tools,PiGameController,https://hieudoanm.github.io/downloads/chess,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-chess-latest
Apps (Desktop),apps-desktop,Code,Code Editor,PiCodeSimple,https://hieudoanm.github.io/downloads/code,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-code-latest
Apps (Desktop),apps-desktop,CSV,CSV Editor,PiTable,https://hieudoanm.github.io/downloads/csv,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-csv-latest
Apps (Desktop),apps-desktop,Database,Database Client,PiDatabase,https://hieudoanm.github.io/downloads/database,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-database-latest
Apps (Desktop),apps-desktop,Diagram,Diagrams Editor,PiPaintBrush,https://hieudoanm.github.io/downloads/diagram,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-diagram-latest
Apps (Desktop),apps-desktop,Docs,Dev Tools,PiGear,https://hieudoanm.github.io,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-docs-latest
Apps (Desktop),apps-desktop,Football,Football Manager,PiSoccerBall,https://hieudoanm.github.io/downloads/football,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-football-latest
